in s,C1 in V
-1.1252E-06,6.93359E-03
-1.1248E-06,1.18164E-02
-1.1244E-06,2.05078E-03
-1.1240E-06,1.66992E-02
-1.1236E-06,1.66992E-02
-1.1232E-06,1.18164E-02
-1.1228E-06,1.18164E-02
-1.1224E-06,6.93359E-03
-1.1220E-06,1.66992E-02
-1.1216E-06,2.15820E-02
-1.1212E-06,2.15820E-02
-1.1208E-06,6.93359E-03
-1.1204E-06,2.64648E-02
-1.1200E-06,1.18164E-02
-1.1196E-06,2.15820E-02
-1.1192E-06,2.05078E-03
-1.1188E-06,6.93359E-03
-1.1184E-06,3.62305E-02
-1.1180E-06,-1.25977E-02
-1.1176E-06,-2.83203E-03
-1.1172E-06,6.93359E-03
-1.1168E-06,1.66992E-02
-1.1164E-06,6.93359E-03
-1.1160E-06,1.18164E-02
-1.1156E-06,6.93359E-03
-1.1152E-06,2.64648E-02
-1.1148E-06,-2.83203E-03
-1.1144E-06,1.18164E-02
-1.1140E-06,2.15820E-02
-1.1136E-06,3.62305E-02
-1.1132E-06,1.18164E-02
-1.1128E-06,2.05078E-03
-1.1124E-06,1.18164E-02
-1.1120E-06,6.93359E-03
-1.1116E-06,6.93359E-03
-1.1112E-06,2.05078E-03
-1.1108E-06,1.18164E-02
-1.1104E-06,-2.83203E-03
-1.1100E-06,1.66992E-02
-1.1096E-06,1.18164E-02
-1.1092E-06,1.66992E-02
-1.1088E-06,2.15820E-02
-1.1084E-06,6.93359E-03
-1.1080E-06,2.05078E-03
-1.1076E-06,1.18164E-02
-1.1072E-06,1.66992E-02
-1.1068E-06,-7.71484E-03
-1.1064E-06,1.66992E-02
-1.1060E-06,1.66992E-02
-1.1056E-06,2.64648E-02
-1.1052E-06,2.15820E-02
-1.1048E-06,2.15820E-02
-1.1044E-06,-2.83203E-03
-1.1040E-06,2.05078E-03
-1.1036E-06,2.05078E-03
-1.1032E-06,1.66992E-02
-1.1028E-06,1.18164E-02
-1.1024E-06,2.05078E-03
-1.1020E-06,6.93359E-03
-1.1016E-06,2.05078E-03
-1.1012E-06,1.66992E-02
-1.1008E-06,2.05078E-03
-1.1004E-06,2.05078E-03
-1.1000E-06,2.05078E-03
-1.0996E-06,1.66992E-02
