in s,C1 in V
-8.26000E-08,5.01348E-02
-8.24000E-08,5.40410E-02
-8.22000E-08,5.69707E-02
-8.20000E-08,5.89238E-02
-8.18000E-08,6.13652E-02
-8.16000E-08,6.52715E-02
-8.14000E-08,6.96660E-02
-8.12000E-08,7.30840E-02
-8.10000E-08,7.55254E-02
-8.08000E-08,7.84551E-02
-8.06000E-08,8.18730E-02
-8.04000E-08,8.52910E-02
-8.02000E-08,8.82207E-02
-8.00000E-08,9.16387E-02
-7.98000E-08,9.50566E-02
-7.96000E-08,9.84746E-02
-7.94000E-08,1.00428E-01
-7.92000E-08,1.01893E-01
-7.90000E-08,1.03846E-01
-7.88000E-08,1.06775E-01
-7.86000E-08,1.09705E-01
-7.84000E-08,1.11658E-01
-7.82000E-08,1.13611E-01
-7.80000E-08,1.16541E-01
-7.78000E-08,1.19471E-01
-7.76000E-08,1.21424E-01
-7.74000E-08,1.21912E-01
-7.72000E-08,1.22400E-01
-7.70000E-08,1.24842E-01
-7.68000E-08,1.27283E-01
-7.66000E-08,1.28748E-01
-7.64000E-08,1.29725E-01
-7.62000E-08,1.30701E-01
-7.60000E-08,1.31678E-01
-7.58000E-08,1.32654E-01
-7.56000E-08,1.33631E-01
-7.54000E-08,1.35584E-01
-7.52000E-08,1.37049E-01
-7.50000E-08,1.38025E-01
-7.48000E-08,1.39002E-01
-7.46000E-08,1.40467E-01
-7.44000E-08,1.41443E-01
-7.42000E-08,1.42420E-01
-7.40000E-08,1.43396E-01
-7.38000E-08,1.45350E-01
-7.36000E-08,1.47303E-01
-7.34000E-08,1.47791E-01
-7.32000E-08,1.47791E-01
-7.30000E-08,1.48768E-01
-7.28000E-08,1.50232E-01
-7.26000E-08,1.51697E-01
-7.24000E-08,1.52186E-01
-7.22000E-08,1.53162E-01
-7.20000E-08,1.53650E-01
-7.18000E-08,1.54139E-01
-7.16000E-08,1.55115E-01
-7.14000E-08,1.56092E-01
-7.12000E-08,1.56580E-01
-7.10000E-08,1.56092E-01
-7.08000E-08,1.55604E-01
-7.06000E-08,1.56092E-01
-7.04000E-08,1.57557E-01
-7.02000E-08,1.58045E-01
-7.00000E-08,1.58045E-01
-6.98000E-08,1.58045E-01
-6.96000E-08,1.58533E-01
-6.94000E-08,1.59510E-01
-6.92000E-08,1.59998E-01
-6.90000E-08,1.60486E-01
-6.88000E-08,1.59998E-01
-6.86000E-08,1.59510E-01
-6.84000E-08,1.59021E-01
-6.82000E-08,1.59021E-01
-6.80000E-08,1.58533E-01
-6.78000E-08,1.58045E-01
-6.76000E-08,1.57557E-01
-6.74000E-08,1.57557E-01
-6.72000E-08,1.57068E-01
-6.70000E-08,1.56092E-01
-6.68000E-08,1.55115E-01
-6.66000E-08,1.54139E-01
-6.64000E-08,1.53650E-01
-6.62000E-08,1.52674E-01
-6.60000E-08,1.51697E-01
-6.58000E-08,1.51209E-01
-6.56000E-08,1.50721E-01
-6.54000E-08,1.49744E-01
-6.52000E-08,1.47303E-01
-6.50000E-08,1.44861E-01
-6.48000E-08,1.42420E-01
-6.46000E-08,1.40467E-01
-6.44000E-08,1.37537E-01
-6.42000E-08,1.34607E-01
-6.40000E-08,1.31678E-01
-6.38000E-08,1.29725E-01
-6.36000E-08,1.28260E-01
-6.34000E-08,1.25818E-01
-6.32000E-08,1.21912E-01
-6.30000E-08,1.18006E-01
-6.28000E-08,1.14588E-01
-6.26000E-08,1.11658E-01
-6.24000E-08,1.09217E-01
-6.22000E-08,1.06287E-01
-6.20000E-08,1.02381E-01
-6.18000E-08,9.84746E-02
-6.16000E-08,9.45684E-02
-6.14000E-08,9.21270E-02
-6.12000E-08,8.96855E-02
-6.10000E-08,8.67559E-02
-6.08000E-08,8.23613E-02
-6.06000E-08,7.84551E-02
-6.04000E-08,7.60137E-02
-6.02000E-08,7.50371E-02
-6.00000E-08,7.25957E-02
-5.98000E-08,6.86895E-02
-5.96000E-08,6.52715E-02
-5.94000E-08,6.33184E-02
-5.92000E-08,6.18535E-02
-5.90000E-08,5.94121E-02
-5.88000E-08,5.64824E-02
-5.86000E-08,5.50176E-02
-5.84000E-08,5.35527E-02
-5.82000E-08,5.11113E-02
-5.80000E-08,4.76934E-02
-5.78000E-08,4.52520E-02
-5.76000E-08,4.42754E-02
-5.74000E-08,4.28105E-02
-5.72000E-08,4.03691E-02
-5.70000E-08,3.79277E-02
-5.68000E-08,3.64629E-02
-5.66000E-08,3.59746E-02
-5.64000E-08,3.54863E-02
-5.62000E-08,3.40215E-02
-5.60000E-08,3.20684E-02
-5.58000E-08,3.06035E-02
-5.56000E-08,2.96270E-02
-5.54000E-08,2.91387E-02
-5.52000E-08,2.76738E-02
-5.50000E-08,2.57207E-02
-5.48000E-08,2.37676E-02
-5.46000E-08,2.23027E-02
-5.44000E-08,2.18145E-02
-5.42000E-08,2.18145E-02
-5.40000E-08,2.13262E-02
-5.38000E-08,2.03496E-02
-5.36000E-08,1.88848E-02
-5.34000E-08,1.74199E-02
-5.32000E-08,1.69316E-02
-5.30000E-08,1.69316E-02
-5.28000E-08,1.64434E-02
-5.26000E-08,1.54668E-02
-5.24000E-08,1.30254E-02
-5.22000E-08,1.10723E-02
-5.20000E-08,1.05840E-02
-5.18000E-08,1.15605E-02
-5.16000E-08,1.15605E-02
-5.14000E-08,1.05840E-02
-5.12000E-08,9.60742E-03
-5.10000E-08,9.60742E-03
-5.08000E-08,9.11914E-03
-5.06000E-08,8.14258E-03
-5.04000E-08,8.14258E-03
-5.02000E-08,8.63086E-03
-5.00000E-08,8.14258E-03
-4.98000E-08,6.18945E-03
-4.96000E-08,5.21289E-03
-4.94000E-08,6.18945E-03
-4.92000E-08,6.67773E-03
-4.90000E-08,6.18945E-03
-4.88000E-08,6.67773E-03
-4.86000E-08,9.11914E-03
-4.84000E-08,1.05840E-02
-4.82000E-08,9.11914E-03
-4.80000E-08,6.67773E-03
-4.78000E-08,7.16602E-03
-4.76000E-08,8.63086E-03
-4.74000E-08,8.63086E-03
-4.72000E-08,8.14258E-03
-4.70000E-08,8.63086E-03
-4.68000E-08,1.00957E-02
-4.66000E-08,1.05840E-02
