in s,C1 in V
-4.1300E-08,6.62715E-02
-4.1200E-08,6.82246E-02
-4.1100E-08,7.06660E-02
-4.1000E-08,7.31074E-02
-4.0900E-08,7.55488E-02
-4.0800E-08,7.75020E-02
-4.0700E-08,7.89668E-02
-4.0600E-08,7.99434E-02
-4.0500E-08,8.14082E-02
-4.0400E-08,8.28730E-02
-4.0300E-08,8.53145E-02
-4.0200E-08,8.82441E-02
-4.0100E-08,9.11738E-02
-4.0000E-08,9.41035E-02
-3.9900E-08,9.65449E-02
-3.9800E-08,9.84980E-02
-3.9700E-08,9.94746E-02
-3.9600E-08,1.00939E-01
-3.9500E-08,1.02404E-01
-3.9400E-08,1.04357E-01
-3.9300E-08,1.06799E-01
-3.9200E-08,1.08752E-01
-3.9100E-08,1.10705E-01
-3.9000E-08,1.12170E-01
-3.8900E-08,1.13635E-01
-3.8800E-08,1.14611E-01
-3.8700E-08,1.16076E-01
-3.8600E-08,1.18029E-01
-3.8500E-08,1.19982E-01
-3.8400E-08,1.21936E-01
-3.8300E-08,1.23400E-01
-3.8200E-08,1.24377E-01
-3.8100E-08,1.24865E-01
-3.8000E-08,1.25354E-01
-3.7900E-08,1.26330E-01
-3.7800E-08,1.27795E-01
-3.7700E-08,1.29260E-01
-3.7600E-08,1.31213E-01
-3.7500E-08,1.32678E-01
-3.7400E-08,1.33654E-01
-3.7300E-08,1.33654E-01
-3.7200E-08,1.33654E-01
-3.7100E-08,1.33654E-01
-3.7000E-08,1.34143E-01
-3.6900E-08,1.35607E-01
-3.6800E-08,1.37561E-01
-3.6700E-08,1.39514E-01
-3.6600E-08,1.41467E-01
-3.6500E-08,1.42443E-01
-3.6400E-08,1.42932E-01
-3.6300E-08,1.42932E-01
-3.6200E-08,1.42443E-01
-3.6100E-08,1.42443E-01
-3.6000E-08,1.42443E-01
-3.5900E-08,1.42932E-01
-3.5800E-08,1.43908E-01
-3.5700E-08,1.44885E-01
-3.5600E-08,1.45861E-01
-3.5500E-08,1.46350E-01
-3.5400E-08,1.46838E-01
-3.5300E-08,1.47326E-01
-3.5200E-08,1.47326E-01
-3.5100E-08,1.47814E-01
-3.5000E-08,1.48303E-01
-3.4900E-08,1.48791E-01
-3.4800E-08,1.49279E-01
-3.4700E-08,1.49768E-01
-3.4600E-08,1.50256E-01
-3.4500E-08,1.50256E-01
-3.4400E-08,1.50744E-01
-3.4300E-08,1.51232E-01
-3.4200E-08,1.52209E-01
-3.4100E-08,1.53186E-01
-3.4000E-08,1.53674E-01
-3.3900E-08,1.54162E-01
-3.3800E-08,1.54162E-01
-3.3700E-08,1.54162E-01
-3.3600E-08,1.54162E-01
-3.3500E-08,1.54162E-01
-3.3400E-08,1.54650E-01
-3.3300E-08,1.54650E-01
-3.3200E-08,1.55139E-01
-3.3100E-08,1.55627E-01
-3.3000E-08,1.55627E-01
-3.2900E-08,1.55627E-01
-3.2800E-08,1.55627E-01
-3.2700E-08,1.56115E-01
-3.2600E-08,1.56604E-01
-3.2500E-08,1.57580E-01
-3.2400E-08,1.58557E-01
-3.2300E-08,1.59045E-01
-3.2200E-08,1.59533E-01
-3.2100E-08,1.59533E-01
-3.2000E-08,1.59045E-01
-3.1900E-08,1.59045E-01
-3.1800E-08,1.59045E-01
-3.1700E-08,1.59533E-01
-3.1600E-08,1.59533E-01
-3.1500E-08,1.60021E-01
-3.1400E-08,1.60510E-01
-3.1300E-08,1.60510E-01
-3.1200E-08,1.60510E-01
-3.1100E-08,1.60510E-01
-3.1000E-08,1.60510E-01
-3.0900E-08,1.60998E-01
-3.0800E-08,1.61486E-01
-3.0700E-08,1.61975E-01
-3.0600E-08,1.62463E-01
-3.0500E-08,1.62463E-01
-3.0400E-08,1.62951E-01
-3.0300E-08,1.62951E-01
-3.0200E-08,1.62951E-01
-3.0100E-08,1.63439E-01
-3.0000E-08,1.63439E-01
-2.9900E-08,1.63439E-01
-2.9800E-08,1.63439E-01
-2.9700E-08,1.63439E-01
-2.9600E-08,1.63439E-01
-2.9500E-08,1.63928E-01
-2.9400E-08,1.64416E-01
-2.9300E-08,1.64904E-01
-2.9200E-08,1.65393E-01
-2.9100E-08,1.65393E-01
-2.9000E-08,1.65393E-01
-2.8900E-08,1.64904E-01
-2.8800E-08,1.64416E-01
-2.8700E-08,1.64416E-01
-2.8600E-08,1.64416E-01
-2.8500E-08,1.64416E-01
-2.8400E-08,1.64904E-01
-2.8300E-08,1.64904E-01
-2.8200E-08,1.64904E-01
-2.8100E-08,1.64416E-01
-2.8000E-08,1.63928E-01
-2.7900E-08,1.63439E-01
-2.7800E-08,1.62951E-01
-2.7700E-08,1.62951E-01
-2.7600E-08,1.62951E-01
-2.7500E-08,1.63439E-01
-2.7400E-08,1.63928E-01
-2.7300E-08,1.64416E-01
-2.7200E-08,1.64416E-01
-2.7100E-08,1.64416E-01
-2.7000E-08,1.64416E-01
-2.6900E-08,1.63928E-01
-2.6800E-08,1.63439E-01
-2.6700E-08,1.62951E-01
-2.6600E-08,1.62463E-01
-2.6500E-08,1.61975E-01
-2.6400E-08,1.61486E-01
-2.6300E-08,1.60998E-01
-2.6200E-08,1.60510E-01
-2.6100E-08,1.60021E-01
-2.6000E-08,1.59533E-01
-2.5900E-08,1.59533E-01
-2.5800E-08,1.59533E-01
-2.5700E-08,1.59533E-01
-2.5600E-08,1.59533E-01
-2.5500E-08,1.59045E-01
-2.5400E-08,1.58557E-01
-2.5300E-08,1.57580E-01
-2.5200E-08,1.56604E-01
-2.5100E-08,1.55627E-01
-2.5000E-08,1.54650E-01
-2.4900E-08,1.54162E-01
-2.4800E-08,1.53186E-01
-2.4700E-08,1.52209E-01
-2.4600E-08,1.51232E-01
-2.4500E-08,1.49768E-01
-2.4400E-08,1.48791E-01
-2.4300E-08,1.47326E-01
-2.4200E-08,1.46350E-01
-2.4100E-08,1.44885E-01
-2.4000E-08,1.43420E-01
-2.3900E-08,1.41467E-01
-2.3800E-08,1.39514E-01
-2.3700E-08,1.37561E-01
-2.3600E-08,1.36096E-01
-2.3500E-08,1.34631E-01
-2.3400E-08,1.33654E-01
-2.3300E-08,1.32189E-01
-2.3200E-08,1.30725E-01
