in s,C1 in V
-4.2300E-08,-2.45008E-02
-4.2200E-08,-2.33289E-02
-4.2100E-08,-2.19617E-02
-4.2000E-08,-2.07898E-02
-4.1900E-08,-1.94227E-02
-4.1800E-08,-1.80555E-02
-4.1700E-08,-1.64930E-02
-4.1600E-08,-1.49305E-02
-4.1500E-08,-1.31727E-02
-4.1400E-08,-1.16102E-02
-4.1300E-08,-9.85234E-03
-4.1200E-08,-8.09453E-03
-4.1100E-08,-6.33672E-03
-4.1000E-08,-4.77422E-03
-4.0900E-08,-3.21172E-03
-4.0800E-08,-1.84453E-03
-4.0700E-08,-4.77344E-04
-4.0600E-08,8.89844E-04
-4.0500E-08,2.25703E-03
-4.0400E-08,3.81953E-03
-4.0300E-08,5.38203E-03
-4.0200E-08,6.94453E-03
-4.0100E-08,8.50703E-03
-4.0000E-08,1.00695E-02
-3.9900E-08,1.16320E-02
-3.9800E-08,1.29992E-02
-3.9700E-08,1.45617E-02
-3.9600E-08,1.61242E-02
-3.9500E-08,1.78820E-02
-3.9400E-08,1.94445E-02
-3.9300E-08,2.12023E-02
-3.9200E-08,2.25695E-02
-3.9100E-08,2.39367E-02
-3.9000E-08,2.49133E-02
-3.8900E-08,2.60852E-02
-3.8800E-08,2.72570E-02
-3.8700E-08,2.86242E-02
-3.8600E-08,3.01867E-02
-3.8500E-08,3.15539E-02
-3.8400E-08,3.31164E-02
-3.8300E-08,3.44836E-02
-3.8200E-08,3.56555E-02
-3.8100E-08,3.64367E-02
-3.8000E-08,3.72180E-02
-3.7900E-08,3.79992E-02
-3.7800E-08,3.87805E-02
-3.7700E-08,3.95617E-02
-3.7600E-08,4.05383E-02
-3.7500E-08,4.15148E-02
-3.7400E-08,4.24914E-02
-3.7300E-08,4.30773E-02
-3.7200E-08,4.38586E-02
-3.7100E-08,4.44445E-02
-3.7000E-08,4.52258E-02
-3.6900E-08,4.58117E-02
-3.6800E-08,4.63977E-02
-3.6700E-08,4.71789E-02
-3.6600E-08,4.77648E-02
-3.6500E-08,4.83508E-02
-3.6400E-08,4.87414E-02
-3.6300E-08,4.91320E-02
-3.6200E-08,4.95227E-02
-3.6100E-08,4.97180E-02
-3.6000E-08,5.01086E-02
-3.5900E-08,5.04992E-02
-3.5800E-08,5.10852E-02
-3.5700E-08,5.16711E-02
-3.5600E-08,5.20617E-02
-3.5500E-08,5.24523E-02
-3.5400E-08,5.28430E-02
-3.5300E-08,5.30383E-02
-3.5200E-08,5.32336E-02
-3.5100E-08,5.36242E-02
-3.5000E-08,5.40148E-02
-3.4900E-08,5.46008E-02
-3.4800E-08,5.51867E-02
-3.4700E-08,5.57727E-02
-3.4600E-08,5.61633E-02
-3.4500E-08,5.63586E-02
-3.4400E-08,5.63586E-02
-3.4300E-08,5.63586E-02
-3.4200E-08,5.63586E-02
-3.4100E-08,5.65539E-02
-3.4000E-08,5.69445E-02
