in s,C1 in V
-8.36000E-08,-4.99629E-02
-8.34000E-08,-4.99629E-02
-8.32000E-08,-5.04512E-02
-8.30000E-08,-5.14277E-02
-8.28000E-08,-5.24043E-02
-8.26000E-08,-5.24043E-02
-8.24000E-08,-5.24043E-02
-8.22000E-08,-5.24043E-02
-8.20000E-08,-5.28926E-02
-8.18000E-08,-5.33809E-02
-8.16000E-08,-5.43574E-02
-8.14000E-08,-5.48457E-02
-8.12000E-08,-5.48457E-02
-8.10000E-08,-5.43574E-02
-8.08000E-08,-5.48457E-02
-8.06000E-08,-5.58223E-02
-8.04000E-08,-5.67988E-02
-8.02000E-08,-5.67988E-02
-8.00000E-08,-5.67988E-02
-7.98000E-08,-5.72871E-02
-7.96000E-08,-5.77754E-02
-7.94000E-08,-5.82637E-02
-7.92000E-08,-5.82637E-02
-7.90000E-08,-5.82637E-02
-7.88000E-08,-5.82637E-02
-7.86000E-08,-5.77754E-02
-7.84000E-08,-5.77754E-02
-7.82000E-08,-5.87520E-02
-7.80000E-08,-5.87520E-02
-7.78000E-08,-5.77754E-02
-7.76000E-08,-5.67988E-02
-7.74000E-08,-5.72871E-02
-7.72000E-08,-5.77754E-02
-7.70000E-08,-5.77754E-02
-7.68000E-08,-5.67988E-02
-7.66000E-08,-5.67988E-02
-7.64000E-08,-5.67988E-02
-7.62000E-08,-5.63105E-02
-7.60000E-08,-5.58223E-02
-7.58000E-08,-5.53340E-02
-7.56000E-08,-5.53340E-02
-7.54000E-08,-5.48457E-02
-7.52000E-08,-5.43574E-02
-7.50000E-08,-5.38691E-02
-7.48000E-08,-5.33809E-02
-7.46000E-08,-5.28926E-02
-7.44000E-08,-5.24043E-02
-7.42000E-08,-5.19160E-02
-7.40000E-08,-4.94746E-02
-7.38000E-08,-4.60566E-02
-7.36000E-08,-4.41035E-02
-7.34000E-08,-4.36152E-02
-7.32000E-08,-4.21504E-02
-7.30000E-08,-3.87324E-02
-7.28000E-08,-3.53145E-02
-7.26000E-08,-3.38496E-02
-7.24000E-08,-3.28730E-02
-7.22000E-08,-3.09199E-02
-7.20000E-08,-2.75020E-02
-7.18000E-08,-2.50605E-02
-7.16000E-08,-2.26191E-02
-7.14000E-08,-1.96895E-02
-7.12000E-08,-1.52949E-02
-7.10000E-08,-1.13887E-02
-7.08000E-08,-8.45898E-03
-7.06000E-08,-5.52930E-03
-7.04000E-08,-2.59961E-03
-7.02000E-08,8.18359E-04
-7.00000E-08,4.23633E-03
-6.98000E-08,7.16602E-03
-6.96000E-08,1.00957E-02
-6.94000E-08,1.30254E-02
-6.92000E-08,1.69316E-02
-6.90000E-08,2.03496E-02
-6.88000E-08,2.23027E-02
-6.86000E-08,2.27910E-02
-6.84000E-08,2.52324E-02
-6.82000E-08,2.96270E-02
-6.80000E-08,3.30449E-02
-6.78000E-08,3.40215E-02
-6.76000E-08,3.49980E-02
-6.74000E-08,3.74395E-02
-6.72000E-08,4.03691E-02
-6.70000E-08,4.18340E-02
-6.68000E-08,4.23223E-02
-6.66000E-08,4.42754E-02
-6.64000E-08,4.67168E-02
-6.62000E-08,4.81816E-02
-6.60000E-08,4.81816E-02
-6.58000E-08,4.81816E-02
-6.56000E-08,4.96465E-02
-6.54000E-08,5.11113E-02
-6.52000E-08,5.20879E-02
-6.50000E-08,5.20879E-02
-6.48000E-08,5.20879E-02
-6.46000E-08,5.25762E-02
-6.44000E-08,5.40410E-02
-6.42000E-08,5.55059E-02
-6.40000E-08,5.69707E-02
-6.38000E-08,5.74590E-02
-6.36000E-08,5.74590E-02
-6.34000E-08,5.74590E-02
-6.32000E-08,5.79473E-02
-6.30000E-08,5.84355E-02
-6.28000E-08,5.94121E-02
-6.26000E-08,5.99004E-02
-6.24000E-08,6.03887E-02
-6.22000E-08,6.03887E-02
-6.20000E-08,6.03887E-02
-6.18000E-08,6.08770E-02
-6.16000E-08,6.23418E-02
-6.14000E-08,6.33184E-02
-6.12000E-08,6.33184E-02
-6.10000E-08,6.28301E-02
-6.08000E-08,6.38066E-02
-6.06000E-08,6.52715E-02
-6.04000E-08,6.57598E-02
-6.02000E-08,6.47832E-02
-6.00000E-08,6.42949E-02
-5.98000E-08,6.62480E-02
-5.96000E-08,6.77129E-02
-5.94000E-08,6.67363E-02
-5.92000E-08,6.42949E-02
-5.90000E-08,6.38066E-02
-5.88000E-08,6.47832E-02
-5.86000E-08,6.57598E-02
-5.84000E-08,6.57598E-02
-5.82000E-08,6.57598E-02
-5.80000E-08,6.57598E-02
-5.78000E-08,6.57598E-02
-5.76000E-08,6.62480E-02
-5.74000E-08,6.67363E-02
-5.72000E-08,6.67363E-02
-5.70000E-08,6.57598E-02
-5.68000E-08,6.47832E-02
-5.66000E-08,6.52715E-02
-5.64000E-08,6.62480E-02
-5.62000E-08,6.62480E-02
-5.60000E-08,6.52715E-02
-5.58000E-08,6.42949E-02
-5.56000E-08,6.38066E-02
-5.54000E-08,6.38066E-02
-5.52000E-08,6.38066E-02
-5.50000E-08,6.33184E-02
-5.48000E-08,6.23418E-02
-5.46000E-08,6.08770E-02
-5.44000E-08,5.99004E-02
-5.42000E-08,5.94121E-02
-5.40000E-08,5.79473E-02
-5.38000E-08,5.50176E-02
-5.36000E-08,5.30645E-02
-5.34000E-08,5.20879E-02
-5.32000E-08,5.06230E-02
-5.30000E-08,4.72051E-02
-5.28000E-08,4.32988E-02
-5.26000E-08,4.08574E-02
-5.24000E-08,3.84160E-02
-5.22000E-08,3.49980E-02
-5.20000E-08,3.15801E-02
-5.18000E-08,2.86504E-02
